,Date,Weekly_Sales,Store,Temperature,Fuel_Price,CPI,Unemployment,IsHoliday
0,2010-02-05,22516.313698630136,1,42.31,2.572,211.0963582,8.106,0
1,2010-02-12,22804.96444444444,1,38.51,2.548,211.24216980000003,8.106,1
2,2010-02-19,22081.75575342465,1,39.93,2.5140000000000002,211.2891429,8.106,0
3,2010-02-26,19579.549861111114,1,46.63,2.5610000000000004,211.3196429,8.106,0
4,2010-03-05,21298.72164383561,1,46.5,2.625,211.3501429,8.106,0
5,2010-03-12,19719.747808219185,1,57.79,2.667,211.3806429,8.106,0
6,2010-03-19,20451.60819444444,1,54.58,2.72,211.21563500000002,8.106,0
7,2010-03-26,19505.97111111112,1,51.45,2.7319999999999998,211.0180424,8.106,0
8,2010-04-02,22152.337222222217,1,62.27,2.719,210.82044989999997,7.808,0
9,2010-04-09,21170.11684931508,1,65.86,2.77,210.62285740000002,7.808,0
10,2010-04-16,20082.9901369863,1,66.32,2.8080000000000003,210.4887,7.808,0
11,2010-04-23,19323.001666666667,1,64.84,2.795,210.4391228,7.808,0
12,2010-04-30,20071.840985915496,1,67.41,2.78,210.3895456,7.808,0
13,2010-05-07,22277.154444444448,1,72.55,2.835,210.33996839999998,7.808,0
14,2010-05-14,20753.49305555556,1,74.78,2.8539999999999996,210.3374261,7.808,0
15,2010-05-21,19995.172428571437,1,76.44,2.826,210.6170934,7.808,0
16,2010-05-28,20458.142142857145,1,80.44,2.759,210.89676060000002,7.808,0
17,2010-06-04,22753.869154929576,1,80.69,2.705,211.1764278,7.808,0
18,2010-06-11,21726.212535211267,1,80.43,2.668,211.4560951,7.808,0
19,2010-06-18,21786.72550724637,1,84.11,2.637,211.4537719,7.808,0
20,2010-06-25,20619.008695652166,1,84.34,2.653,211.33865260000002,7.808,0
21,2010-07-02,20444.08410958904,1,80.91,2.6689999999999996,211.2235333,7.787000000000001,0
22,2010-07-09,21775.692676056333,1,80.48,2.642,211.108414,7.787000000000001,0
23,2010-07-16,20699.12742857143,1,83.15,2.623,211.10038540000002,7.787000000000001,0
24,2010-07-23,19237.016666666674,1,83.36,2.608,211.2351443,7.787000000000001,0
25,2010-07-30,19055.369444444445,1,81.84,2.64,211.36990319999995,7.787000000000001,0
26,2010-08-06,22935.596857142853,1,87.16,2.627,211.5046621,7.787000000000001,0
27,2010-08-13,21242.78535211268,1,87.0,2.6919999999999997,211.63942110000002,7.787000000000001,0
28,2010-08-20,21015.00680555556,1,86.65,2.6639999999999997,211.60336329999998,7.787000000000001,0
29,2010-08-27,20702.04171428572,1,85.22,2.6189999999999998,211.5673056,7.787000000000001,0
30,2010-09-03,21391.160138888892,1,81.21,2.577,211.53124790000004,7.787000000000001,0
31,2010-09-10,20936.95402777778,1,78.69,2.565,211.49519019999997,7.787000000000001,1
32,2010-09-17,19866.370416666665,1,82.11,2.582,211.5224596,7.787000000000001,0
33,2010-09-24,19039.31028169014,1,80.94,2.6239999999999997,211.59722459999998,7.787000000000001,0
34,2010-10-01,19908.62328767123,1,71.89,2.603,211.6719895,7.837999999999999,0
35,2010-10-08,20660.820958904107,1,63.93,2.633,211.74675440000001,7.837999999999999,0
36,2010-10-15,19991.905479452053,1,67.18,2.72,211.81374359999998,7.837999999999999,0
37,2010-10-22,18430.87671232877,1,69.86,2.725,211.8612937,7.837999999999999,0
38,2010-10-29,19225.12805555556,1,69.64,2.716,211.9088438,7.837999999999999,0
39,2010-11-05,21550.823333333326,1,58.74,2.6889999999999996,211.95639390000002,7.837999999999999,0
40,2010-11-12,20472.32178082192,1,59.61,2.728,212.003944,7.837999999999999,0
41,2010-11-19,20608.11361111112,1,51.41,2.7710000000000004,211.88967369999997,7.837999999999999,0
42,2010-11-26,27161.445972222216,1,64.52,2.735,211.74843330000002,7.837999999999999,1
43,2010-12-03,21803.292676056328,1,49.27,2.708,211.60719300000002,7.837999999999999,0
44,2010-12-10,23698.792394366203,1,46.33,2.843,211.4659526,7.837999999999999,0
45,2010-12-17,26264.374027777765,1,49.84,2.8689999999999998,211.40531239999999,7.837999999999999,0
46,2010-12-24,33165.975,1,52.33,2.886,211.4051222,7.837999999999999,0
47,2010-12-31,19258.028309859154,1,48.43,2.943,211.4049321,7.837999999999999,1
48,2011-01-07,20065.726111111104,1,48.27,2.9760000000000004,211.40474190000003,7.742000000000001,0
49,2011-01-14,19591.745915492957,1,35.4,2.983,211.4574109,7.742000000000001,0
50,2011-01-21,18436.18638888889,1,44.04,3.016,211.82723430000004,7.742000000000001,0
51,2011-01-28,18547.877605633803,1,43.83,3.01,212.19705770000002,7.742000000000001,0
52,2011-02-04,22628.585633802813,1,42.27,2.989,212.56688119999998,7.742000000000001,0
53,2011-02-11,22911.31847222222,1,36.39,3.022,212.9367046,7.742000000000001,1
54,2011-02-18,23428.37194444444,1,57.36,3.045,213.2478853,7.742000000000001,0
55,2011-02-25,20233.33722222222,1,62.9,3.065,213.535609,7.742000000000001,0
56,2011-03-04,22414.56726027397,1,59.58,3.2880000000000003,213.8233327,7.742000000000001,0
57,2011-03-11,20989.076081081083,1,53.56,3.4589999999999996,214.11105640000002,7.742000000000001,0
58,2011-03-18,21900.25083333333,1,62.76,3.488,214.3627114,7.742000000000001,0
59,2011-03-25,21705.66732394366,1,69.97,3.4730000000000003,214.59993889999998,7.742000000000001,0
60,2011-04-01,21057.25,1,59.17,3.5239999999999996,214.8371664,7.682,0
61,2011-04-08,22736.0471830986,1,67.84,3.622,215.07439390000002,7.682,0
62,2011-04-15,21970.2676056338,1,71.27,3.7430000000000003,215.29185609999996,7.682,0
63,2011-04-22,21733.608472222226,1,72.99,3.807,215.45990530000003,7.682,0
64,2011-04-29,20787.00985714285,1,72.03,3.81,215.62795440000002,7.682,0
65,2011-05-06,22949.172957746483,1,64.61,3.906,215.7960035,7.682,0
66,2011-05-13,21983.227123287677,1,75.64,3.8989999999999996,215.9640526,7.682,0
67,2011-05-20,19836.364861111102,1,67.63,3.907,215.7339202,7.682,0
68,2011-05-27,20648.54464788732,1,77.72,3.786,215.5037878,7.682,0
69,2011-06-03,23358.26300000001,1,83.0,3.699,215.27365530000003,7.682,0
70,2011-06-10,22379.5538028169,1,83.13,3.648,215.04352290000003,7.682,0
71,2011-06-17,21279.373055555552,1,86.41,3.637,214.99805959999998,7.682,0
72,2011-06-24,20265.213380281693,1,83.58,3.594,215.09109819999998,7.682,0
73,2011-07-01,21573.01579710145,1,85.55,3.5239999999999996,215.18413680000003,7.962000000000001,0
74,2011-07-08,21926.423428571434,1,85.83,3.48,215.27717540000003,7.962000000000001,0
75,2011-07-15,20787.42814285714,1,88.54,3.575,215.3611087,7.962000000000001,0
76,2011-07-22,20245.316231884066,1,85.77,3.6510000000000002,215.4222784,7.962000000000001,0
77,2011-07-29,19597.388260869564,1,86.83,3.682,215.4834482,7.962000000000001,0
78,2011-08-05,22878.644366197183,1,91.65,3.6839999999999997,215.544618,7.962000000000001,0
79,2011-08-12,21480.944929577465,1,90.76,3.638,215.6057878,7.962000000000001,0
80,2011-08-19,21260.575416666667,1,89.94,3.554,215.66931069999998,7.962000000000001,0
81,2011-08-26,19793.154864864857,1,87.96,3.523,215.73322579999999,7.962000000000001,0
82,2011-09-02,21236.01671232877,1,87.83,3.533,215.7971409,7.962000000000001,0
83,2011-09-09,21395.43388888889,1,76.0,3.5460000000000003,215.86105600000002,7.962000000000001,1
84,2011-09-16,21327.602535211263,1,79.94,3.5260000000000002,216.0410526,7.962000000000001,0
85,2011-09-23,19166.94819444444,1,75.8,3.467,216.3758246,7.962000000000001,0
86,2011-09-30,19368.914305555558,1,79.69,3.355,216.71059649999998,7.962000000000001,0
87,2011-10-07,22652.638194444433,1,69.31,3.285,217.0453684,7.8660000000000005,0
88,2011-10-14,20743.415694444448,1,71.74,3.2739999999999996,217.3552733,7.8660000000000005,0
89,2011-10-21,20868.927500000005,1,63.71,3.353,217.5159762,7.8660000000000005,0
90,2011-10-28,20072.90402777777,1,66.57,3.372,217.67667909999997,7.8660000000000005,0
91,2011-11-04,23572.633055555547,1,54.98,3.332,217.837382,7.8660000000000005,0
92,2011-11-11,22151.929027777784,1,59.11,3.2969999999999997,217.99808489999998,7.8660000000000005,0
93,2011-11-18,21381.71805555556,1,62.25,3.3080000000000003,218.2205088,7.8660000000000005,0
94,2011-11-25,27853.70767123288,1,60.14,3.236,218.4676211,7.8660000000000005,1
95,2011-12-02,21699.780136986297,1,48.91,3.1719999999999997,218.7147333,7.8660000000000005,0
96,2011-12-09,24653.18328767123,1,43.93,3.158,218.96184559999998,7.8660000000000005,0
97,2011-12-16,26127.45375,1,51.63,3.159,219.17945330000003,7.8660000000000005,0
98,2011-12-23,30678.2295945946,1,47.96,3.112,219.3577216,7.8660000000000005,0
99,2011-12-30,20513.187945205475,1,44.55,3.1289999999999996,219.5359898,7.8660000000000005,1
100,2012-01-06,21532.915555555548,1,49.01,3.157,219.71425809999997,7.348,0
101,2012-01-13,20557.762957746483,1,48.53,3.261,219.89252630000001,7.348,0
102,2012-01-20,19101.285479452057,1,54.11,3.2680000000000002,219.98568930000002,7.348,0
103,2012-01-27,18847.50842857143,1,54.26,3.29,220.0788523,7.348,0
104,2012-02-03,22726.939583333336,1,56.55,3.36,220.1720153,7.348,0
105,2012-02-10,24691.471643835626,1,48.02,3.409,220.26517830000003,7.348,1
106,2012-02-17,24929.72602739725,1,45.32,3.51,220.42575860000002,7.348,0
107,2012-02-24,21380.38652777778,1,57.25,3.555,220.636902,7.348,0
108,2012-03-02,23450.28833333333,1,60.96,3.63,220.8480454,7.348,0
109,2012-03-09,23597.62197183098,1,58.76,3.6689999999999996,221.05918870000002,7.348,0
110,2012-03-16,23298.23305555556,1,64.74,3.734,221.21181319999997,7.348,0
111,2012-03-23,21282.648873239435,1,65.93,3.787,221.2864126,7.348,0
112,2012-03-30,23233.868028169014,1,67.61,3.845,221.3610119,7.348,0
113,2012-04-06,26384.401111111107,1,70.43,3.891,221.43561119999998,7.143,0
114,2012-04-13,22831.432394366195,1,69.07,3.891,221.5102105,7.143,0
115,2012-04-20,21430.674225352108,1,66.76,3.877,221.56407369999997,7.143,0
116,2012-04-27,20689.131971830982,1,67.23,3.8139999999999996,221.61793680000002,7.143,0
117,2012-05-04,23725.63366197183,1,75.55,3.7489999999999997,221.6718,7.143,0
118,2012-05-11,22691.493661971832,1,73.77,3.688,221.72566319999999,7.143,0
119,2012-05-18,22798.59814285714,1,70.33,3.63,221.74267400000002,7.143,0
120,2012-05-25,21907.669718309862,1,77.22,3.5610000000000004,221.744944,7.143,0
121,2012-06-01,22879.965915492958,1,77.95,3.5010000000000003,221.7472139,7.143,0
122,2012-06-08,23572.652222222227,1,78.3,3.452,221.7494839,7.143,0
123,2012-06-15,22966.295774647882,1,79.35,3.3930000000000002,221.76264210000002,7.143,0
124,2012-06-22,21518.955070422537,1,78.39,3.346,221.80302110000002,7.143,0
125,2012-06-29,22324.94913043479,1,84.88,3.286,221.8434,7.143,0
126,2012-07-06,25283.630857142856,1,81.57,3.227,221.88377889999998,6.9079999999999995,0
127,2012-07-13,21507.24,1,77.12,3.2560000000000002,221.92415789999998,6.9079999999999995,0
128,2012-07-20,20804.927222222224,1,80.42,3.3110000000000004,221.9327267,6.9079999999999995,0
129,2012-07-27,19987.82930555556,1,82.66,3.407,221.9412954,6.9079999999999995,0
130,2012-08-03,22973.74352112676,1,86.11,3.417,221.9498642,6.9079999999999995,0
131,2012-08-10,22116.805138888893,1,85.05,3.4939999999999998,221.9584329,6.9079999999999995,0
132,2012-08-17,22192.61180555556,1,84.85,3.571,222.03841090000003,6.9079999999999995,0
133,2012-08-24,21043.977183098603,1,77.66,3.62,222.17194569999998,6.9079999999999995,0
134,2012-08-31,21973.38055555556,1,80.49,3.638,222.30548050000002,6.9079999999999995,0
135,2012-09-07,22763.93602739726,1,83.96,3.73,222.4390153,6.9079999999999995,1
136,2012-09-14,21075.400972222218,1,74.97,3.717,222.58201929999998,6.9079999999999995,0
137,2012-09-21,21213.043098591552,1,69.87,3.721,222.7818386,6.9079999999999995,0
138,2012-09-28,19685.74328767124,1,76.08,3.6660000000000004,222.9816579,6.9079999999999995,0
139,2012-10-05,23205.36069444444,1,68.55,3.617,223.1814772,6.5729999999999995,0
140,2012-10-12,21548.942602739724,1,62.99,3.6010000000000004,223.3812965,6.5729999999999995,0
141,2012-10-19,21240.40521126761,1,67.97,3.594,223.4257233,6.5729999999999995,0
142,2012-10-26,20745.27416666666,1,69.16,3.5060000000000002,223.44425130000002,6.5729999999999995,0
