Date,Weekly_Sales
2010-02-05,21222.34222222223
2010-02-12,22495.48685714286
2010-02-19,21173.22112676056
2010-02-26,18822.600704225355
2010-03-05,20380.323571428566
2010-03-12,18758.91774647887
2010-03-19,19214.183098591548
2010-03-26,17300.337083333332
2010-04-02,20086.25361111111
2010-04-09,20420.94888888888
2010-04-16,18637.230281690143
2010-04-23,18605.312318840584
2010-04-30,17461.505492957745
2010-05-07,18747.56828571429
2010-05-14,18097.087571428565
2010-05-21,18166.380285714295
2010-05-28,18322.79014492754
2010-06-04,19947.459857142854
2010-06-11,19699.571323529402
2010-06-18,18824.26647887324
2010-06-25,18028.92971428571
2010-07-02,18878.262898550725
2010-07-09,18552.992318840577
2010-07-16,18704.48608695652
2010-07-23,17526.62014084507
2010-07-30,18384.983676470587
2010-08-06,20141.69
2010-08-13,20357.927941176476
2010-08-20,20727.425652173904
2010-08-27,19283.280441176466
2010-09-03,18897.30826086957
2010-09-10,17591.835142857144
2010-09-17,17618.497246376817
2010-09-24,16958.018115942024
2010-10-01,16654.795211267607
2010-10-08,18745.982608695653
2010-10-15,17279.46573529412
2010-10-22,16954.077971014496
2010-10-29,17319.362318840573
2010-11-05,19599.398970588238
2010-11-12,18051.769014084504
2010-11-19,18729.660434782607
2010-11-26,25841.801617647052
2010-12-03,19721.752000000004
2010-12-10,22674.1511594203
2010-12-17,26724.219565217394
2010-12-24,33424.135652173914
2010-12-31,16742.901428571426
2011-01-07,16841.506285714284
2011-01-14,17063.56828571428
2011-01-21,16968.231285714286
2011-01-28,15720.266999999996
2011-02-04,20616.609420289857
2011-02-11,20568.650724637682
2011-02-18,22532.567391304354
2011-02-25,19188.39652173913
2011-03-04,20281.985362318836
2011-03-11,19051.555217391302
2011-03-18,20171.21289855072
2011-03-25,17822.85855072463
2011-04-01,17981.058857142856
2011-04-08,18962.87228571429
2011-04-15,18234.802777777782
2011-04-22,19830.264714285717
2011-04-29,19675.215797101453
2011-05-06,18492.40847222222
2011-05-13,18256.563142857147
2011-05-20,17706.671
2011-05-27,17383.950285714287
2011-06-03,18924.4647887324
2011-06-10,18780.382142857143
2011-06-17,19107.239142857143
2011-06-24,17670.251267605632
2011-07-01,18535.315142857147
2011-07-08,18797.576901408458
2011-07-15,18093.524714285715
2011-07-22,17924.672777777778
2011-07-29,17578.821304347824
2011-08-05,19763.365352112673
2011-08-12,19625.919275362317
2011-08-19,20903.799154929573
2011-08-26,18376.1514084507
2011-09-02,18278.766338028174
2011-09-09,16884.323648648646
2011-09-16,18154.514428571427
2011-09-23,17653.930714285718
2011-09-30,16767.828591549292
2011-10-07,18961.56422535211
2011-10-14,18376.985142857142
2011-10-21,18404.27125
2011-10-28,18460.339436619717
2011-11-04,20539.25887323944
2011-11-11,19515.05271428572
2011-11-18,18522.417323943668
2011-11-25,25328.1298630137
2011-12-02,19435.033888888887
2011-12-09,22870.221388888895
2011-12-16,25125.49380281689
2011-12-23,30743.312499999985
2011-12-30,19043.43957746479
2012-01-06,17831.74375
2012-01-13,17813.1914084507
2012-01-20,17004.271690140853
2012-01-27,15927.066438356165
2012-02-03,19390.59408450704
2012-02-10,22173.06704225352
2012-02-17,21800.110277777778
2012-02-24,19706.75757142857
2012-03-02,19977.54777777778
2012-03-09,19906.79943661972
2012-03-16,20308.229295774647
2012-03-23,18579.908714285713
2012-03-30,18572.914714285707
2012-04-06,22483.450845070423
2012-04-13,20742.986056338028
2012-04-20,18526.154788732398
2012-04-27,17660.547000000002
2012-05-04,19031.266944444447
2012-05-11,18311.930563380283
2012-05-18,19320.604428571427
2012-05-25,18533.36957142857
2012-06-01,19177.399014084505
2012-06-08,19643.660138888885
2012-06-15,19970.076338028168
2012-06-22,19366.861428571425
2012-06-29,18528.98
2012-07-06,20579.294929577463
2012-07-13,18594.922676056336
2012-07-20,18673.386249999996
2012-07-27,18177.071714285707
2012-08-03,19709.029154929587
2012-08-10,19291.300694444446
2012-08-17,19740.377777777772
2012-08-24,20135.939000000002
2012-08-31,19067.671527777784
2012-09-07,18374.428169014085
2012-09-14,17854.578169014087
2012-09-21,18677.929295774647
2012-09-28,17047.649027777785
2012-10-05,20039.355774647887
2012-10-12,18742.35842857143
2012-10-19,17601.04542857143
2012-10-26,17153.277857142864
