Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
2010-02-05,22516.313698630136,29273.82821917808,7101.880307692307,29248.546164383562,5115.695161290321,22638.836986301372,6898.964444444445,14552.711449275355,8862.992741935483,29240.649999999987,21222.34222222223,15714.948142857142,26229.60706666666,36950.28098591551,9451.049855072464,7344.7584615384585,11271.943142857142,17989.66417910448,20939.405138888884,32895.82835616438,12099.90727272727,15418.169701492536,18954.466388888886,19287.855972222227,10107.934776119402,14987.234927536228,26775.568428571423,23227.115138888894,8161.12818181818,8944.394615384617,20126.740410958904,15105.78041666666,6864.83575,12922.012972972974,18367.365671641786,12303.861578947368,10938.91285714286,7029.336078431372,18097.011764705887,14520.924637681162,15303.284225352112,11812.695869565217,13479.776666666665,5856.061458333334,13293.87328358209
2010-02-12,22804.964444444442,29691.7986111111,6573.89,29177.43186666667,4797.31846153846,22003.88849315068,7487.213142857145,14011.287323943658,8772.658412698414,29405.79081081081,22495.48685714286,16439.16661764705,26722.80868421052,23669.70611111111,9611.930985915495,7152.18606060606,12027.884428571428,17468.833823529414,21340.971527777776,29705.745070422534,12079.424477611941,14819.873188405798,19727.029714285716,19109.555405405405,8454.551014492756,14936.530735294116,24241.148888888896,21652.34013888889,7905.566417910447,10150.501428571428,21745.735633802815,15824.874929577467,7372.070750000001,14008.605492957744,17445.004626865677,12690.91081081081,11038.597916666666,6844.298000000001,17834.21225352113,13647.689857142856,15150.089295774646,12249.148085106384,14846.065000000002,5976.190208333334,9661.597647058825
2010-02-19,22081.755753424655,29102.075890410964,6486.802923076922,28080.27753424656,4668.424153846156,21765.80652777778,7137.472394366196,13770.862428571432,7866.583076923077,28179.101066666655,21173.22112676056,15428.473943661971,26270.328533333333,30618.843055555557,9577.373188405798,7341.6984375,11277.661971830983,16438.048857142854,20213.0148,29610.27068493151,12944.52611940298,14120.965857142848,18585.747042253515,19241.145694444444,9800.879275362318,14276.407857142858,27395.356760563383,20712.505833333336,8095.508507462686,9459.454285714288,20751.926056338027,15035.542499999994,6903.507674418605,13296.798243243242,18965.05432835821,12375.81657894737,10632.968749999998,6544.7584,17834.666231884064,13089.845714285713,15029.067714285711,10383.568775510204,13729.115624999999,5582.422916666666,12192.232463768116
2010-02-26,19579.549861111114,25549.277671232878,6463.569206349206,26023.362702702703,4158.178923076923,19629.496027397265,6987.087887323945,12283.943623188405,7402.70734375,26404.93368421053,18822.600704225355,15420.840735294114,24565.544864864867,29105.439305555552,7956.101408450703,6925.65890625,10863.03695652174,15480.542753623195,19618.14371428571,26363.804861111104,11532.26523076923,13231.786470588233,16883.23450704225,16553.182,8978.808142857144,12396.884202898551,19053.894109589037,22031.04757142857,7514.117076923079,9083.282884615384,19205.063000000002,14834.466197183097,6928.116341463415,12757.128591549297,15464.420303030305,11474.857435897437,10481.955510204083,6962.973541666665,17185.02970588235,12167.850845070421,13588.242876712327,10685.012608695653,12889.641458333332,5810.192978723405,10598.452142857144
2010-03-05,21298.721643835615,27274.152465753425,6590.5085714285715,27375.797777777785,4513.370468750002,21936.285205479457,6921.4021126760545,12415.548591549292,8052.347301587303,26494.534533333335,20380.323571428566,15385.975285714287,26215.951756756764,31077.010416666668,8772.832318840577,7050.5055555555555,11691.045522388062,17349.095588235297,21068.233380281687,29030.324931506846,10991.828235294117,14841.194705882357,19002.549710144925,19616.491250000003,9790.44205882353,14574.921449275364,18767.567428571423,22339.381250000002,8360.74859375,9451.821399999999,19505.218450704226,15022.06676056338,7287.1222499999985,12579.394383561643,17615.307121212118,12636.932368421054,10385.113599999997,7596.732448979591,18089.345857142853,13945.806760563375,14979.682957746481,12064.617826086955,14317.392391304349,5692.345399999999,11611.212238805974
2010-03-12,19719.747808219185,27645.608055555553,6003.135781250001,25949.64506849315,4795.057903225807,21350.977534246576,6863.601428571428,12290.516571428572,7970.093548387094,25884.61506666667,18758.91774647887,14079.917571428572,24542.492533333334,29944.93138888889,8509.487183098592,6959.2771875,10913.740285714284,16268.576000000001,20387.35,27930.20611111111,10631.535671641792,14017.208260869567,19832.154366197177,18441.410704225353,9714.999852941179,14167.383676470585,27501.616,18955.387285714285,7864.280151515151,9180.194705882353,19517.047857142854,15184.991250000005,7432.4047619047615,12975.322253521128,17429.460454545453,11318.82564102564,10687.819791666667,6333.776296296297,18299.879852941176,13034.09275362319,14422.502957746477,12518.374893617021,13445.56125,5554.914897959183,11260.109117647062
2010-03-19,20451.60819444444,26658.50520547946,5774.285999999999,25640.937297297296,4543.651774193548,23514.707083333335,8206.43185714286,12172.623188405796,7834.590483870968,26309.12243243242,19214.183098591548,13886.976285714283,25402.633648648647,28697.490277777782,8731.039264705878,7879.802343749998,10743.350285714283,15992.756911764709,18513.06041666666,27490.82295774647,11185.692307692307,14208.016029411761,17309.976338028162,16520.422837837843,9702.88,12905.236428571428,23619.83291666667,17775.269861111112,7886.533333333333,8914.7272,19032.300142857144,14719.191388888888,6883.798292682926,12389.872500000003,16932.364999999998,10721.29975,9388.178367346938,6938.030624999999,19141.03132352941,12783.790000000003,14379.967,10831.54375,13918.718541666667,5617.170833333334,11549.544626865672
2010-03-26,19505.971111111117,23975.312465753424,5713.480476190476,24144.373972602738,4407.789838709677,20444.908055555556,7353.30857142857,11196.21913043478,7697.564444444442,25588.27648648649,17300.337083333332,13633.552916666662,25433.729459459453,29291.37528571429,8707.521911764708,7433.49538461538,11494.168695652173,15836.29115942029,20098.921830985913,26686.520422535214,10401.47772727273,14667.755362318841,18724.31142857143,17722.698028169005,9952.68,12586.098591549293,25869.223098591552,17789.55385714285,8507.466769230768,8849.146999999999,17318.81267605634,14740.02164383562,6918.256842105264,12404.821830985911,16346.976363636366,10370.218205128203,10526.081020408166,6717.1622,17644.209428571434,12476.493999999997,14298.541690140844,9755.544489795919,13257.402765957448,5525.5898,11508.285000000002
2010-04-02,22152.33722222222,28697.05166666666,6613.974999999997,27112.974246575344,5178.218750000001,24587.97083333334,8132.538260869564,13253.636376811593,8793.650322580645,28900.702297297306,20086.25361111111,14879.739705882352,28566.42853333333,35149.72549295774,10119.305774647892,7664.12015625,12121.730999999998,18718.027462686572,22506.44205479452,33878.80591549295,11248.718208955223,17313.838088235294,21924.332676056336,20821.426197183104,12095.387794117645,15144.841176470589,28527.12458333333,20021.65833333334,9225.065384615385,9157.681199999999,19121.136338028173,15718.513055555555,7041.910769230768,13603.175833333331,17493.477500000005,11178.790256410257,10591.95490196078,7529.17448979592,21216.559710144928,14461.140694444446,16939.51289855072,10763.98744680851,13543.808333333334,5611.71568627451,13093.074029850748
2010-04-09,21170.116849315076,27148.461250000004,6497.9731249999995,24910.311232876713,5206.674444444444,23155.303055555552,7121.518382352941,12901.8861971831,8678.43131147541,27959.854383561633,20420.94888888888,15090.418405797094,25652.990945945945,31813.82084507041,8938.10943661972,6425.514999999999,11162.724927536234,16777.822142857138,20689.073888888885,28278.820563380275,11211.662686567168,14973.493768115946,17808.93943661972,18898.351095890408,10636.536865671642,14815.85231884058,27546.67788732395,19469.848028169017,8635.412575757577,8746.17230769231,19938.715571428576,15435.059436619715,7931.73292682927,13203.947222222223,17880.820447761198,11615.818205128207,10694.323958333332,6972.050204081635,18957.646714285707,12955.481549295773,15459.403,12394.728936170215,14438.715416666668,5046.3,12633.071212121211
