,Store,Dept,Date,Weekly_Sales
391778,42,7,2010-02-05,522.44
391779,42,7,2010-02-12,468.66
391780,42,7,2010-02-19,674.48
391781,42,7,2010-02-26,680.36
391782,42,7,2010-03-05,577.58
391783,42,7,2010-03-12,643.14
391784,42,7,2010-03-19,578.02
391785,42,7,2010-03-26,374.67
391786,42,7,2010-04-02,1256.5
391787,42,7,2010-04-09,1766.55
391788,42,7,2010-04-16,844.31
391789,42,7,2010-04-23,694.47
391790,42,7,2010-04-30,863.72
391791,42,7,2010-05-07,686.32
391792,42,7,2010-05-14,924.97
391793,42,7,2010-05-21,790.41
391794,42,7,2010-05-28,799.8
391795,42,7,2010-06-04,1157.2
391796,42,7,2010-06-11,1130.23
391797,42,7,2010-06-18,1095.08
391798,42,7,2010-06-25,949.75
391799,42,7,2010-07-02,1241.43
391800,42,7,2010-07-09,1163.03
391801,42,7,2010-07-16,541.08
391802,42,7,2010-07-23,615.12
391803,42,7,2010-07-30,540.61
391804,42,7,2010-08-06,581.3
391805,42,7,2010-08-13,555.88
391806,42,7,2010-08-20,472.28
391807,42,7,2010-08-27,973.96
391808,42,7,2010-09-03,866.78
391809,42,7,2010-09-10,584.13
391810,42,7,2010-09-17,781.3
391811,42,7,2010-09-24,433.45
391812,42,7,2010-10-01,360.92
391813,42,7,2010-10-08,414.36
391814,42,7,2010-10-15,423.06
391815,42,7,2010-10-22,472.32
391816,42,7,2010-10-29,291.38
391817,42,7,2010-11-05,341.17
391818,42,7,2010-11-12,354.01
391819,42,7,2010-11-19,341.06
391820,42,7,2010-11-26,423.78
391821,42,7,2010-12-03,588.79
391822,42,7,2010-12-10,475.88
391823,42,7,2010-12-17,852.16
391824,42,7,2010-12-24,3097.51
391825,42,7,2010-12-31,3108.06
391826,42,7,2011-01-07,322.55
391827,42,7,2011-01-14,217.37
391828,42,7,2011-01-21,167.67
391829,42,7,2011-01-28,372.7
391830,42,7,2011-02-04,491.51
391831,42,7,2011-02-11,464.18
391832,42,7,2011-02-18,461.69
391833,42,7,2011-02-25,452.06
391834,42,7,2011-03-04,361.36
391835,42,7,2011-03-11,387.85
391836,42,7,2011-03-18,408.74
391837,42,7,2011-03-25,418.43
391838,42,7,2011-04-01,394.05
391839,42,7,2011-04-08,554.8
391840,42,7,2011-04-15,565.08
391841,42,7,2011-04-22,1275.55
391842,42,7,2011-04-29,1101.97
391843,42,7,2011-05-06,741.1
391844,42,7,2011-05-13,734.31
391845,42,7,2011-05-20,751.53
391846,42,7,2011-05-27,866.63
391847,42,7,2011-06-03,535.28
391848,42,7,2011-06-10,1331.1
391849,42,7,2011-06-17,1538.23
391850,42,7,2011-06-24,1233.1
391851,42,7,2011-07-01,1639.44
391852,42,7,2011-07-08,2654.5
391853,42,7,2011-07-15,691.81
391854,42,7,2011-07-22,386.82
391855,42,7,2011-07-29,501.69
391856,42,7,2011-08-05,632.51
391857,42,7,2011-08-12,563.46
391858,42,7,2011-08-19,461.5
391859,42,7,2011-08-26,490.6
391860,42,7,2011-09-02,690.66
391861,42,7,2011-09-09,580.17
391862,42,7,2011-09-16,438.52
391863,42,7,2011-09-23,370.7
391864,42,7,2011-09-30,499.97
391865,42,7,2011-10-07,378.97
391866,42,7,2011-10-14,366.37
391867,42,7,2011-10-21,460.62
391868,42,7,2011-10-28,436.89
391869,42,7,2011-11-04,293.07
391870,42,7,2011-11-11,411.01
391871,42,7,2011-11-18,401.81
391872,42,7,2011-11-25,478.52
391873,42,7,2011-12-02,481.68
391874,42,7,2011-12-09,655.63
391875,42,7,2011-12-16,935.71
391876,42,7,2011-12-23,1532.46
391877,42,7,2011-12-30,1319.76
391878,42,7,2012-01-06,2027.95
391879,42,7,2012-01-13,348.24
391880,42,7,2012-01-20,331.21
391881,42,7,2012-01-27,265.61
391882,42,7,2012-02-03,398.41
391883,42,7,2012-02-10,439.31
391884,42,7,2012-02-17,435.31
391885,42,7,2012-02-24,511.8
391886,42,7,2012-03-02,578.05
391887,42,7,2012-03-09,424.95
391888,42,7,2012-03-16,545.52
391889,42,7,2012-03-23,497.09
391890,42,7,2012-03-30,533.64
391891,42,7,2012-04-06,944.77
391892,42,7,2012-04-13,1134.99
391893,42,7,2012-04-20,732.89
391894,42,7,2012-04-27,779.2
391895,42,7,2012-05-04,808.87
391896,42,7,2012-05-11,612.68
391897,42,7,2012-05-18,809.82
391898,42,7,2012-05-25,785.37
391899,42,7,2012-06-01,892.17
391900,42,7,2012-06-08,929.05
391901,42,7,2012-06-15,849.33
391902,42,7,2012-06-22,777.47
391903,42,7,2012-06-29,1024.01
391904,42,7,2012-07-06,4705.49
391905,42,7,2012-07-13,713.29
391906,42,7,2012-07-20,526.66
391907,42,7,2012-07-27,462.31
391908,42,7,2012-08-03,387.89
391909,42,7,2012-08-10,496.91
391910,42,7,2012-08-17,419.23
391911,42,7,2012-08-24,397.97
391912,42,7,2012-08-31,320.2
391913,42,7,2012-09-07,360.03
391914,42,7,2012-09-14,570.22
391915,42,7,2012-09-21,313.35
391916,42,7,2012-09-28,297.21
391917,42,7,2012-10-05,421.0
391918,42,7,2012-10-12,450.63
391919,42,7,2012-10-19,370.46
391920,42,7,2012-10-26,325.96
