,Store,Dept,Date,Weekly_Sales
70049,8,10,2010-02-05,28716.87
70050,8,10,2010-02-12,19845.83
70051,8,10,2010-02-19,22886.99
70052,8,10,2010-02-26,18627.73
70053,8,10,2010-03-05,23429.26
70054,8,10,2010-03-12,20548.54
70055,8,10,2010-03-19,21222.64
70056,8,10,2010-03-26,15802.32
70057,8,10,2010-04-02,20580.63
70058,8,10,2010-04-09,19532.55
70059,8,10,2010-04-16,20095.63
70060,8,10,2010-04-23,19932.73
70061,8,10,2010-04-30,19712.71
70062,8,10,2010-05-07,16644.14
70063,8,10,2010-05-14,19237.04
70064,8,10,2010-05-21,19385.91
70065,8,10,2010-05-28,20012.52
70066,8,10,2010-06-04,23535.1
70067,8,10,2010-06-11,21297.37
70068,8,10,2010-06-18,18464.79
70069,8,10,2010-06-25,23170.34
70070,8,10,2010-07-02,21422.13
70071,8,10,2010-07-09,18006.5
70072,8,10,2010-07-16,20671.39
70073,8,10,2010-07-23,19925.55
70074,8,10,2010-07-30,19430.65
70075,8,10,2010-08-06,19036.35
70076,8,10,2010-08-13,20361.05
70077,8,10,2010-08-20,19233.88
70078,8,10,2010-08-27,18160.98
70079,8,10,2010-09-03,22090.61
70080,8,10,2010-09-10,21572.94
70081,8,10,2010-09-17,21453.0
70082,8,10,2010-09-24,15459.22
70083,8,10,2010-10-01,22275.32
70084,8,10,2010-10-08,20239.0
70085,8,10,2010-10-15,20631.09
70086,8,10,2010-10-22,18250.43
70087,8,10,2010-10-29,18891.72
70088,8,10,2010-11-05,24070.53
70089,8,10,2010-11-12,19422.22
70090,8,10,2010-11-19,18025.68
70091,8,10,2010-11-26,21879.47
70092,8,10,2010-12-03,19605.09
70093,8,10,2010-12-10,16999.73
70094,8,10,2010-12-17,19562.53
70095,8,10,2010-12-24,24367.4
70096,8,10,2010-12-31,15125.45
70097,8,10,2011-01-07,16357.58
70098,8,10,2011-01-14,14838.82
70099,8,10,2011-01-21,16658.7
70100,8,10,2011-01-28,18023.07
70101,8,10,2011-02-04,26370.33
70102,8,10,2011-02-11,25124.97
70103,8,10,2011-02-18,28980.76
70104,8,10,2011-02-25,22971.93
70105,8,10,2011-03-04,19809.18
70106,8,10,2011-03-11,22396.16
70107,8,10,2011-03-18,21167.42
70108,8,10,2011-03-25,20721.59
70109,8,10,2011-04-01,22184.68
70110,8,10,2011-04-08,22546.7
70111,8,10,2011-04-15,22616.6
70112,8,10,2011-04-22,22459.53
70113,8,10,2011-04-29,20601.48
70114,8,10,2011-05-06,22362.59
70115,8,10,2011-05-13,18085.66
70116,8,10,2011-05-20,18932.86
70117,8,10,2011-05-27,20059.15
70118,8,10,2011-06-03,21830.05
70119,8,10,2011-06-10,20934.86
70120,8,10,2011-06-17,25034.19
70121,8,10,2011-06-24,21202.84
70122,8,10,2011-07-01,24832.04
70123,8,10,2011-07-08,19204.03
70124,8,10,2011-07-15,21891.59
70125,8,10,2011-07-22,20267.79
70126,8,10,2011-07-29,21615.16
70127,8,10,2011-08-05,20569.96
70128,8,10,2011-08-12,19735.75
70129,8,10,2011-08-19,20820.98
70130,8,10,2011-08-26,20300.13
70131,8,10,2011-09-02,19972.2
70132,8,10,2011-09-09,18786.18
70133,8,10,2011-09-16,21249.76
70134,8,10,2011-09-23,18331.84
70135,8,10,2011-09-30,20996.92
70136,8,10,2011-10-07,23770.14
70137,8,10,2011-10-14,18118.71
70138,8,10,2011-10-21,19028.17
70139,8,10,2011-10-28,20329.33
70140,8,10,2011-11-04,22915.33
70141,8,10,2011-11-11,19379.67
70142,8,10,2011-11-18,17231.54
70143,8,10,2011-11-25,18208.82
70144,8,10,2011-12-02,22312.7
70145,8,10,2011-12-09,23770.48
70146,8,10,2011-12-16,18574.13
70147,8,10,2011-12-23,22812.65
70148,8,10,2011-12-30,17898.83
70149,8,10,2012-01-06,14723.84
70150,8,10,2012-01-13,15437.61
70151,8,10,2012-01-20,14717.81
70152,8,10,2012-01-27,16782.66
70153,8,10,2012-02-03,20201.51
70154,8,10,2012-02-10,21775.29
70155,8,10,2012-02-17,24931.67
70156,8,10,2012-02-24,25450.51
70157,8,10,2012-03-02,23748.06
70158,8,10,2012-03-09,22116.39
70159,8,10,2012-03-16,22802.74
70160,8,10,2012-03-23,23152.9
70161,8,10,2012-03-30,23597.75
70162,8,10,2012-04-06,22807.66
70163,8,10,2012-04-13,17845.98
70164,8,10,2012-04-20,20503.37
70165,8,10,2012-04-27,22091.39
70166,8,10,2012-05-04,21828.12
70167,8,10,2012-05-11,18751.66
70168,8,10,2012-05-18,20559.54
70169,8,10,2012-05-25,19929.13
70170,8,10,2012-06-01,23109.05
70171,8,10,2012-06-08,20901.15
70172,8,10,2012-06-15,20401.69
70173,8,10,2012-06-22,22732.19
70174,8,10,2012-06-29,22473.02
70175,8,10,2012-07-06,25174.98
70176,8,10,2012-07-13,20752.34
70177,8,10,2012-07-20,21649.14
70178,8,10,2012-07-27,20997.67
70179,8,10,2012-08-03,20716.18
70180,8,10,2012-08-10,21497.93
70181,8,10,2012-08-17,17715.61
70182,8,10,2012-08-24,20689.58
70183,8,10,2012-08-31,22609.76
70184,8,10,2012-09-07,22091.56
70185,8,10,2012-09-14,17515.06
70186,8,10,2012-09-21,22005.81
70187,8,10,2012-09-28,17899.94
70188,8,10,2012-10-05,22644.05
70189,8,10,2012-10-12,20965.39
70190,8,10,2012-10-19,22786.86
70191,8,10,2012-10-26,20167.4
